Skill Name,Salary Premium,Skill Frequency,Averege job postings duration (days),Difficulty to fill in the market,Difficulty,GROWTH PROJECTION 
Retail Management,0,0.26%,30.154716,0.00%,Low difficulty to fill,-2.01%
Secondary Market,28357.110962,0.04%,30.549961,3.44%,Medium difficulty to fill,3.81%
Technical Assistance,4486.09194,0.15%,30.029412,0.53%,Low difficulty to fill,-0.80%
Sociology,0,0.17%,30.756586,0.00%,Low difficulty to fill,0.00%
Cardiac Valve Replacement,32161.899401,0.00%,29.457469,3.75%,Medium difficulty to fill,0.00%
Zendesk,7129.402719,0.02%,29.369727,0.83%,Low difficulty to fill,5.28%
Collaborative Software,40093.830963,0.09%,28.552212,4.52%,Medium difficulty to fill,-4.55%
Http Protocols,48573.10418,0.02%,27.207171,5.20%,Medium difficulty to fill,-52.27%
Reconnaissance,7761.349069,0.02%,27.246028,0.83%,Low difficulty to fill,0.67%
Network Address Translation,45221.775456,0.01%,27.229859,4.84%,Medium difficulty to fill,4.60%
Application Servers,47906.462071,0.05%,26.856093,5.05%,Medium difficulty to fill,-1.81%
Financial Controls,25875.116641,0.11%,30.939828,3.18%,Medium difficulty to fill,-4.08%
Site Assessment,18070.328066,0.05%,28.090901,2.00%,Low difficulty to fill,8.57%
Configuration Management Databases,53316.600781,0.03%,27.392034,5.74%,High difficulty to fill,-2.62%
Oral Cancer,49086.153624,0.02%,27.98232,5.41%,Medium difficulty to fill,-8.30%
Human Subject Research,13969.587347,0.04%,30.213853,1.67%,Low difficulty to fill,5.17%
Embroidery,0,0.01%,32.241226,0.00%,Low difficulty to fill,2.33%
Modified Diets,0,0.02%,31.219019,0.00%,Low difficulty to fill,-6.83%
Urinary Catheterization,0,0.02%,29.960729,0.00%,Low difficulty to fill,2.72%
Virology,23077.28068,0.02%,29.900181,2.73%,Low difficulty to fill,-0.31%
Demand Forecasting,38208.407007,0.04%,30.001884,4.54%,Medium difficulty to fill,8.12%
Echocardiography,50995.756485,0.04%,29.370172,5.92%,High difficulty to fill,-2.15%
Building Controls,13161.051918,0.01%,30.184404,1.57%,Low difficulty to fill,-2.02%
Environmental Laws,14319.420005,0.12%,30.699011,1.74%,Low difficulty to fill,1.33%
Death Investigations,12104.627095,0.00%,29.275385,1.40%,Low difficulty to fill,4.94%
Nmap,62257.914829,0.01%,27.431649,6.72%,High difficulty to fill,4.74%
Gradle,66512.380822,0.05%,25.622914,6.67%,High difficulty to fill,-0.96%
Lightning Web Components,64197.994093,0.01%,27.590347,6.97%,High difficulty to fill,-8.71%
Build Automation,64748.22343,0.03%,27.05886,6.88%,High difficulty to fill,3.23%
Portfolio Optimization,74396.190297,0.01%,30.10867,8.87%,High difficulty to fill,4.74%
Internal Medicine And Pediatrics (Med-Peds),134646.426573,0.01%,28.784224,15.30%,High difficulty to fill,-1.64%
Batch Files,23441.338168,0.01%,28.070651,2.59%,Low difficulty to fill,-6.44%
Open-Source Software,69705.26251,0.03%,28.042369,7.70%,High difficulty to fill,0.76%
Annual Budget Preparation,14214.239505,0.01%,30.865378,1.74%,Low difficulty to fill,-0.81%
Chain Of Custody,0,0.03%,30.002628,0.00%,Low difficulty to fill,1.56%
Response Rate,0,0.03%,32.829112,0.00%,Low difficulty to fill,-0.46%
Urinalysis,0,0.05%,30.579727,0.00%,Low difficulty to fill,2.16%
Anthropology,13692.01712,0.04%,28.649688,1.55%,Low difficulty to fill,-4.59%
Fiber Optics,982.333647,0.06%,29.980334,0.12%,Low difficulty to fill,-6.79%
Function Block Diagram,53964.034789,0.00%,28.985685,6.18%,High difficulty to fill,1.87%
Energy Conservation Measures,17941.79036,0.00%,30.846645,2.20%,Low difficulty to fill,-6.01%
SolarWinds,43858.288146,0.04%,27.650199,4.77%,Medium difficulty to fill,-2.51%
Meter Data Management,47984.899703,0.00%,29.4125,5.58%,High difficulty to fill,18.00%
Net Promoter Score,18200.632571,0.03%,30.502661,2.20%,Low difficulty to fill,-0.80%
Sustainability Initiatives,26380.999793,0.02%,30.47541,3.19%,Medium difficulty to fill,-0.14%
Chargeback,0,0.04%,30.465152,0.00%,Low difficulty to fill,-1.74%
Western Blot,7479.57549,0.03%,30.312378,0.90%,Low difficulty to fill,1.43%
Circuit Diagrams,5328.032307,0.02%,29.419923,0.62%,Low difficulty to fill,4.11%
Power Engineering,45190.663506,0.01%,31.140493,5.59%,High difficulty to fill,-8.84%
Return Loss,22138.832574,0.00%,29.524554,2.59%,Low difficulty to fill,0.00%
Telnet,21278.394159,0.01%,27.75549,2.33%,Low difficulty to fill,-2.89%
Email Service Providers,15840.632092,0.01%,30.858946,1.94%,Low difficulty to fill,3.15%
Microcontrollers,55678.234499,0.03%,28.103465,6.17%,High difficulty to fill,10.57%
Ribonucleic Acid Sequencing,16163.412402,0.05%,30.432474,1.95%,Low difficulty to fill,2.60%
Dental Informatics,0,0.03%,31.454646,0.00%,Low difficulty to fill,-10.28%
Crystal Reports (Reporting Software),23707.194378,0.03%,28.692645,2.69%,Low difficulty to fill,-0.53%
RS-485 Standard,43960.025443,0.01%,28.847032,5.01%,Medium difficulty to fill,1.76%
Component Libraries,63109.078553,0.01%,27.926654,6.94%,High difficulty to fill,3.58%
Agile Project Management,55743.115171,0.05%,27.569377,6.05%,High difficulty to fill,6.31%
Transaction Processing Systems,74247.205172,0.00%,28.567192,8.37%,High difficulty to fill,-12.94%
Pathing,19325.833805,0.02%,30.224029,2.31%,Low difficulty to fill,4.43%
Micro Focus Application Lifecycle Management (ALM),50265.638696,0.01%,25.939114,5.11%,Medium difficulty to fill,-6.52%
WYSIWYG,85645.398074,0.00%,30.712166,10.43%,High difficulty to fill,10.53%
Wood Flooring,0,0.01%,34.959297,0.00%,Low difficulty to fill,-9.95%
Watson LIMS,20641.85539,0.00%,29.887755,2.44%,Low difficulty to fill,-4.00%
Structural Welding,0,0.01%,29.474942,0.00%,Low difficulty to fill,-8.44%
Amazon S3 Buckets,49560.270614,0.01%,26.922596,5.24%,Medium difficulty to fill,-1.50%
Treasury Operations,44895.999664,0.01%,30.395987,5.41%,Medium difficulty to fill,0.00%
Electron Capture Detector,11293.565241,0.01%,31.193518,1.40%,Low difficulty to fill,-50.00%
High-Yield Debt,45556.0641,0.01%,30.781474,5.56%,High difficulty to fill,-5.92%
Non-Profit Accounting,13543.630394,0.01%,32.031941,1.73%,Low difficulty to fill,-5.90%
Laser Diode,57346.501137,0.00%,29.924634,6.80%,High difficulty to fill,-10.71%
Heartworm,0,0.02%,33.680076,0.00%,Low difficulty to fill,2.86%
Architectural Models,65199.716073,0.00%,28.658776,7.38%,High difficulty to fill,4.96%
User Journey Mapping,59947.903851,0.00%,28.449071,6.73%,High difficulty to fill,9.52%
Cluster Ready Services,40578.037872,0.00%,30.408163,4.89%,Medium difficulty to fill,0.00%
Mood Boards,13529.586116,0.01%,29.800374,1.60%,Low difficulty to fill,2.66%
Language Acquisition,1339.768114,0.01%,31.628722,0.17%,Low difficulty to fill,-11.23%
Bacterial Cultures,3072.73978,0.01%,30.560011,0.37%,Low difficulty to fill,4.10%
Pad Printing,0,0.00%,31.315018,0.00%,Low difficulty to fill,4.35%
Smart Systems,3003.362608,0.00%,27.556259,0.33%,Low difficulty to fill,1.61%
Employee Conflict Resolution,7561.628997,0.00%,28.312147,0.84%,Low difficulty to fill,3.45%
Sqoop,66150.018429,0.01%,24.642297,6.36%,High difficulty to fill,-11.34%
Formal Language,6380.302578,0.00%,28.541667,0.72%,Low difficulty to fill,-27.27%
Water Purification,3022.139384,0.01%,30.547571,0.37%,Low difficulty to fill,-6.19%
Food Inspection,0,0.00%,28.247954,0.00%,Low difficulty to fill,-2.16%
Polyacrylamide Gel Electrophoresis,13932.616962,0.01%,29.533735,1.63%,Low difficulty to fill,-0.84%
Trademark Clearance Searches,35070.914584,0.00%,34.973333,4.91%,Medium difficulty to fill,0.00%
Pat-Down Searches,0,0.01%,29.81306,0.00%,Low difficulty to fill,-2.62%
Command Language,35513.422834,0.00%,28.957096,4.06%,Medium difficulty to fill,2.17%
Malpractice Litigation,23709.032222,0.00%,32.762376,3.09%,Medium difficulty to fill,7.41%
Trade Promotion Management,57145.395581,0.00%,28.238395,6.36%,High difficulty to fill,-0.64%
Manugistics,44524.654623,0.00%,29.016908,5.10%,Medium difficulty to fill,-21.74%
Water Treatments Operation,8029.885962,0.00%,31.260976,1.00%,Low difficulty to fill,-3.10%
Mixed-Use Development,58256.087017,0.00%,31.032015,7.18%,High difficulty to fill,-6.00%
Computer Network Operations,41441.538899,0.00%,27.392717,4.47%,Medium difficulty to fill,-2.13%
System Identification,62824.904539,0.00%,27.307181,6.75%,High difficulty to fill,5.88%
Prenatal Development,34540.6291,0.00%,28.381098,3.87%,Medium difficulty to fill,-7.02%
Trade Relations,48099.635987,0.00%,31.532641,6.03%,High difficulty to fill,-9.28%
Design Verification Plan And Report (DVP&R),32277.225372,0.00%,32.632035,4.20%,Medium difficulty to fill,-21.43%
Laser Engineering,62716.270015,0.00%,32.061404,8.00%,High difficulty to fill,0.00%
Temporal.io,122188.109301,0.00%,29.4,14.21%,High difficulty to fill,0.00%
Utl File,44693.103446,0.00%,25.33871,4.43%,Medium difficulty to fill,-100.00%
Educational Effectiveness,25656.513623,0.00%,33.161333,3.39%,Medium difficulty to fill,-1.09%
Respiratory Insufficiency,23260.346963,0.00%,31.362319,2.90%,Medium difficulty to fill,-9.09%
Oracle VM Server For SPARC,41938.880639,0.00%,24.335878,3.97%,Medium difficulty to fill,-5.88%
Kurdish Language,2239.844959,0.00%,27.156463,0.24%,Low difficulty to fill,-6.67%
Fitness Management,0,0.00%,33.057545,0.00%,Low difficulty to fill,-10.13%
Industrial Control Systems,33347.167136,0.02%,28.515539,3.75%,Medium difficulty to fill,2.86%
Mainframe Computing,23744.271423,0.03%,28.640115,2.68%,Low difficulty to fill,1.36%
Partner Relationship Management,63308.295463,0.04%,29.621053,7.42%,High difficulty to fill,10.67%
Business English,0,0.04%,30.059738,0.00%,Low difficulty to fill,-4.72%
Geotechnical Engineering,23678.510861,0.07%,31.165732,2.93%,Medium difficulty to fill,-5.61%
Resume Screening,0,0.03%,30.397993,0.00%,Low difficulty to fill,-13.18%
Three-Phase,674.260034,0.07%,29.769545,0.08%,Low difficulty to fill,2.10%
Digital Marketing Tags,42252.527268,0.00%,28.805613,4.81%,Medium difficulty to fill,9.72%
Workforce Development,9943.678773,0.08%,30.928538,1.22%,Low difficulty to fill,-0.33%
Business Process Automation,50919.277312,0.08%,28.903711,5.81%,High difficulty to fill,-0.30%
Wardrobe Styling,0,0.04%,33.391523,0.00%,Low difficulty to fill,-26.15%
Wheelchair Lifts,0,0.02%,31.067964,0.00%,Low difficulty to fill,-1.02%
Insider Threat,63320.50889,0.02%,28.776851,7.19%,High difficulty to fill,3.71%
Virtual Machines,46872.117453,0.06%,27.797689,5.13%,Medium difficulty to fill,0.17%
Herbicides,0,0.06%,31.116267,0.00%,Low difficulty to fill,-1.07%
Body Mass Index (BMI),3827.145657,0.02%,30.20809,0.46%,Low difficulty to fill,3.38%
Environment Management,34450.390219,0.02%,29.182037,3.97%,Medium difficulty to fill,-1.43%
City Ledgers,0,0.02%,32.237022,0.00%,Low difficulty to fill,-0.16%
Continuous Production,0,0.02%,30.91455,0.00%,Low difficulty to fill,-3.52%
Data Strategy,70258.789238,0.07%,28.82798,8.00%,High difficulty to fill,-6.95%
Cost Benefit Analysis,40109.136374,0.10%,29.586009,4.70%,Medium difficulty to fill,-0.96%
Bing Ads,18646.894522,0.01%,31.021645,2.30%,Low difficulty to fill,-4.23%
Power Plant Equipment,19607.861138,0.00%,29.847538,2.32%,Low difficulty to fill,-16.30%
Reference Architecture,79104.378947,0.02%,28.559284,8.91%,High difficulty to fill,1.26%
American Psychological Style (APA),14716.104539,0.01%,30.335116,1.77%,Low difficulty to fill,-12.70%
Outpatient Coding,5692.008201,0.01%,30.816956,0.70%,Low difficulty to fill,-13.33%
StorybookJS,69314.669674,0.00%,27.780039,7.58%,High difficulty to fill,3.45%
Nail Gun,0,0.03%,31.913745,0.00%,Low difficulty to fill,-9.73%
Optimal Design,45623.846624,0.01%,28.201552,5.07%,Medium difficulty to fill,8.06%
Pharmaceutical Security,12138.523586,0.00%,28.75,1.38%,Low difficulty to fill,-16.67%
Server Administration,30264.294263,0.03%,27.667128,3.30%,Medium difficulty to fill,-1.62%
Bioproduction,44471.662872,0.00%,27.540676,4.82%,Medium difficulty to fill,-81.25%
Environmental Compliance Assessment,20048.501149,0.00%,29.185366,2.31%,Low difficulty to fill,-18.18%
Global Logistics,24336.944858,0.01%,29.971762,2.89%,Medium difficulty to fill,4.01%
Neurobiology,13793.195515,0.01%,30.779626,1.68%,Low difficulty to fill,4.13%
Product Liability,46625.821104,0.01%,31.395749,5.82%,High difficulty to fill,1.07%
Crime Scene Processing,0,0.00%,29.644046,0.00%,Low difficulty to fill,-3.05%
Fund Disbursement,3488.395075,0.01%,30.383856,0.42%,Low difficulty to fill,-1.91%
Kernel-Based Virtual Machine,57721.952695,0.02%,27.099719,6.15%,High difficulty to fill,0.43%
Carpet Cleaning,0,0.05%,32.217886,0.00%,Low difficulty to fill,-3.27%
Downstream Processing,31931.466443,0.01%,29.171335,3.68%,Medium difficulty to fill,3.81%
Misdemeanor,7590.75551,0.01%,25.406856,0.75%,Low difficulty to fill,6.72%
Hedge Accounting,61353.003319,0.00%,30.414268,7.40%,High difficulty to fill,-8.14%
Adobe Dreamweaver,5364.404511,0.02%,29.214747,0.62%,Low difficulty to fill,-3.49%
Digital Controls,20960.604272,0.01%,29.773354,2.47%,Low difficulty to fill,0.00%
Role-Based Access Control (RBAC),65103.381532,0.03%,26.353528,6.73%,High difficulty to fill,-3.48%
Value-Added Tax,53688.205755,0.00%,27.023511,5.70%,High difficulty to fill,-6.45%
Information Disclosure Statement,20414.096865,0.00%,30.530899,2.47%,Low difficulty to fill,1.43%
Creative Arts,0,0.01%,30.685888,0.00%,Low difficulty to fill,0.56%
Data Verification,5982.213789,0.01%,29.399294,0.70%,Low difficulty to fill,-2.28%
System Center Configuration Manager,25403.378675,0.01%,27.648715,2.76%,Medium difficulty to fill,-2.68%
Cisco PIX,45459.682788,0.01%,26.698644,4.76%,Medium difficulty to fill,-4.52%
Price Analysis,34134.997268,0.03%,29.740688,4.02%,Medium difficulty to fill,3.11%
Shopify,5043.957349,0.01%,30.070819,0.60%,Low difficulty to fill,5.88%
Rough Sketches,1328.288843,0.01%,29.625896,0.16%,Low difficulty to fill,2.59%
I2C,68175.28028,0.02%,27.431454,7.36%,High difficulty to fill,0.00%
Host Systems,20302.265595,0.01%,29.601116,2.38%,Low difficulty to fill,-3.38%
College Recruitment,1382.002304,0.02%,30.445031,0.17%,Low difficulty to fill,-1.69%
Control Wiring,1985.765952,0.01%,28.911264,0.23%,Low difficulty to fill,-3.43%
Fundamental Science,30620.8135,0.01%,30.642546,3.72%,Medium difficulty to fill,7.20%
Outbound Logistics,12400.791699,0.00%,30.669953,1.51%,Low difficulty to fill,4.08%
Log Monitoring,25550.82096,0.01%,27.939959,2.81%,Medium difficulty to fill,8.24%
Vehicle Dynamics,48640.523127,0.01%,29.167846,5.61%,High difficulty to fill,-2.26%
Web Performance Optimization,44311.702843,0.01%,28.194538,4.93%,Medium difficulty to fill,4.97%
Primeng,69822.847264,0.00%,24.473585,6.66%,High difficulty to fill,-42.10%
Commercial Real Estate Assessment Management,0,0.01%,28.227318,0.00%,Low difficulty to fill,9.06%
Collaborative Design,44327.76201,0.01%,30.8125,5.42%,Medium difficulty to fill,8.14%
Capacity Development,21947.873398,0.00%,29.56732,2.57%,Low difficulty to fill,0.67%
Occupational Hearing Conservation,7285.607593,0.00%,31.347368,0.91%,Low difficulty to fill,5.15%
Honeywell Operating System,0,0.00%,28.955761,0.00%,Low difficulty to fill,-3.16%
Soil Contamination,16286.70954,0.00%,31.386128,2.03%,Low difficulty to fill,-4.17%
Active Treatment,0,0.02%,31.550521,0.00%,Low difficulty to fill,-4.03%
Brand Design,39544.591201,0.01%,29.898475,4.68%,Medium difficulty to fill,-4.40%
Smoking Cessation,41494.989781,0.00%,30.181876,4.96%,Medium difficulty to fill,-5.29%
Insourcing,3319.404129,0.01%,30.295555,0.40%,Low difficulty to fill,2.72%
Wireless USB,41603.037872,0.00%,29.6,4.87%,Medium difficulty to fill,0.00%
International Economics,48387.334815,0.00%,29.60401,5.67%,High difficulty to fill,8.33%
Pareto Analysis,32901.705751,0.00%,29.299551,3.81%,Medium difficulty to fill,0.73%
Total Parenteral Nutrition (TPN),13790.509987,0.01%,30.881712,1.69%,Low difficulty to fill,5.68%
Intrathecal,57199.769818,0.00%,31.615385,7.19%,High difficulty to fill,-6.25%
Retrospective Reviews,34784.770444,0.01%,29.541137,4.07%,Medium difficulty to fill,-2.78%
Forensic Anthropology,36477.801652,0.00%,28.650602,4.13%,Medium difficulty to fill,-11.11%
IBM Sterling B2B Integrator,54026.926516,0.00%,26.371134,5.59%,High difficulty to fill,0.00%
Energy Consumption,20284.269431,0.02%,30.67745,2.47%,Low difficulty to fill,-3.55%
Gastrostomy,0,0.01%,29.969633,0.00%,Low difficulty to fill,5.36%
TraceGains,8746.095723,0.00%,31.702055,1.10%,Low difficulty to fill,-6.25%
Unit Processes,5942.499829,0.01%,29.856,0.70%,Low difficulty to fill,-4.66%
Probable Cause,3553.146207,0.01%,29.781631,0.42%,Low difficulty to fill,-0.34%
Production Flow Analysis,0,0.03%,30.618671,0.00%,Low difficulty to fill,-2.68%
Amazon Elastic Kubernetes Service,73842.709448,0.01%,26.664593,7.73%,High difficulty to fill,-1.42%
Adaptive Behavior,0,0.00%,30.7502,0.00%,Low difficulty to fill,-1.41%
IBM Mainframe,40457.76732,0.01%,27.385832,4.36%,Medium difficulty to fill,0.40%
XacML,85085.478817,0.00%,25.699115,8.56%,High difficulty to fill,-12.50%
Spotify,17365.722627,0.00%,32.297872,2.23%,Low difficulty to fill,-27.40%
Inside Plant,9233.722858,0.01%,28.446429,1.04%,Low difficulty to fill,-10.00%
Gymnastics,0,0.02%,32.243192,0.00%,Low difficulty to fill,9.25%
Classified Document Control,35866.186955,0.00%,24.039702,3.35%,Medium difficulty to fill,-20.83%
Concentrix Solar,10522.105592,0.01%,31.462172,1.32%,Low difficulty to fill,-17.74%
Interrogations,12007.59263,0.01%,27.640882,1.31%,Low difficulty to fill,-5.88%
White-Box Testing,50588.357448,0.01%,26.908,5.35%,Medium difficulty to fill,-3.04%
Digital Point Positioning Data Base,33266.148983,0.00%,22.641026,2.91%,Medium difficulty to fill,-16.67%
XPEDITER,53605.50957,0.00%,26.622137,5.60%,High difficulty to fill,-38.89%
ControlNet,20707.370135,0.01%,28.863501,2.36%,Low difficulty to fill,-0.39%
Equity Trading,52769.604995,0.00%,28.268781,5.88%,High difficulty to fill,-3.33%
Project Governance,67843.364849,0.03%,28.909614,7.75%,High difficulty to fill,-1.20%
NT LAN Manager,63195.508002,0.00%,27.472222,6.83%,High difficulty to fill,0.00%
BigMachines Query Language (BMQL),65228.446963,0.00%,28.424242,7.31%,High difficulty to fill,100.00%
Trade Secrets,31976.747089,0.01%,31.147562,3.95%,Medium difficulty to fill,-3.26%
Network Security Design,56576.31484,0.00%,27.242718,6.06%,High difficulty to fill,-6.85%
Manifold,0,0.01%,31.726118,0.00%,Low difficulty to fill,-9.98%
Music Technology,0,0.00%,33.730252,0.00%,Low difficulty to fill,-2.67%
Joint Value,84695.530504,0.00%,31.511364,10.61%,High difficulty to fill,10.43%
Heuristic Evaluation,53846.52382,0.01%,27.516304,5.83%,High difficulty to fill,-0.89%
C Shell,53987.760644,0.00%,25.338931,5.35%,Medium difficulty to fill,3.33%
Essential Tremor,56419.537872,0.00%,30.971264,6.94%,High difficulty to fill,8.33%
Branding Campaigns,10807.699457,0.00%,29.913292,1.28%,Low difficulty to fill,10.47%
Managed Accounts,28076.417865,0.01%,31.208667,3.48%,Medium difficulty to fill,-6.68%
Safari (Web Browser),521.475439,0.02%,31.214053,0.06%,Low difficulty to fill,6.01%
Endotoxin Testing,5951.239907,0.00%,28.799443,0.68%,Low difficulty to fill,-5.32%
Residential Restoration,13730.966159,0.00%,35.103093,1.93%,Low difficulty to fill,-5.17%
C-Based Programming Languages,66930.158095,0.01%,27.778928,7.32%,High difficulty to fill,0.88%
Socket Wrenches,0,0.00%,28.474576,0.00%,Low difficulty to fill,7.14%
Image Stitching,0,0.00%,31.446628,0.00%,Low difficulty to fill,-2.65%
Implant,50874.956791,0.00%,29.620098,5.96%,High difficulty to fill,-26.25%
Microsoft Sharepoint Migrations,51060.475683,0.00%,26.637241,5.34%,Medium difficulty to fill,-2.04%
Data Mart,56631.694326,0.02%,27.710598,6.18%,High difficulty to fill,-0.20%
Electronic Remittance Advice,0,0.00%,30.073634,0.00%,Low difficulty to fill,5.21%
Psychopharmacology,51074.115072,0.01%,29.639433,5.99%,High difficulty to fill,-6.65%
Laser Safety,19076.111919,0.00%,30.647134,2.32%,Low difficulty to fill,8.00%
