Skills_Label,Growth Category,Mid Scenario
Libvirt,Rapidly Growing,0.00%
Synthetic Biology,Stable,8.05%
IBM ZEnterprise Systems,Rapidly Growing,0.00%
Customer Empowerment,Lagging,-8.59%
Computer-Generated Imagery,Lagging,2.50%
Zoning Administration,Growing,2.33%
External Testing,Lagging,-1.01%
Traffic Calming,Growing,12.20%
Statement On Auditing Standards (SAS) No. 70,Growing,15.62%
Oil Transfer,Growing,-26.67%
Perimeter Security,Stable,-14.48%
Soft Soldering,Stable,2.63%
Submerged Arc Welding,Rapidly Growing,-9.76%
Protein Sequencing,Rapidly Growing,0.00%
Employer Branding Strategies,,
Terraform,Growing,-4.74%
Project Stakeholders,Growing,-2.14%
Caregiving,Rapidly Growing,5.15%
Covenants,Growing,2.16%
Routing Protocols,Growing,0.00%
Abrasive Blasting,Growing,-5.29%
Working With The Disabled,Stable,-3.70%
Google Calendar,Growing,8.08%
Salesmanship,Stable,-2.27%
PIC Microcontrollers,Stable,-3.70%
Network Time Protocols,Lagging,-5.58%
Allergen Immunotherapy,Stable,-0.83%
Gross Profit,Stable,-0.80%
File Systems,Growing,-7.72%
3D Modeling,Growing,-1.64%
Bandsaws,Stable,-1.10%
Financial Advising,Rapidly Growing,8.14%
Test Tools,Stable,1.03%
Microsoft 365,Growing,5.71%
Audit Scheduling,Stable,1.03%
Contribution Margins,Growing,2.03%
Network Packet,Lagging,2.75%
Domain Controllers,Growing,1.29%
Nursing Management,Lagging,-7.08%
Clinical Pathology,Stable,4.61%
Appium,Growing,2.67%
Interventional Pain Management,Stable,2.40%
Agilent VEE (Domain-Specific Programming Language),Stable,-13.54%
Motion Capture,Stable,1.55%
Cisco Routers,Lagging,-9.13%
Industrial Tools,Rapidly Growing,-5.10%
Serverless Computing,Growing,7.63%
Digital Signage,Stable,1.37%
Substance Abuse Counseling,Lagging,-7.14%
Fleet Maintenance Software,Growing,-22.62%
Blood Testing,Growing,10.91%
Financial Crimes Enforcement Network (FinCEN),Stable,4.13%
Security Seal,Lagging,-22.73%
Rotating Equipment,Rapidly Growing,-4.92%
Non-Profit Management,Stable,2.31%
All-Source Intelligence,Lagging,-21.95%
Contract Implementation,Stable,4.87%
Cardiothoracic Health,Stable,-4.08%
Art Therapy,Lagging,-5.97%
Pelvic Examination,Lagging,-5.93%
Sports Coaching,Lagging,-1.64%
Fund Development,Stable,1.28%
Integrated Logistics Support,Lagging,-11.71%
Family Court,Stable,2.74%
Release Builds,Lagging,-15.79%
System Status,Stable,2.71%
Mental Health Act,,
Global System For Mobile Communications,Growing,1.22%
Legal Systems,Lagging,-2.86%
Milling Cutters,,
Deformation,Stable,-3.51%
Engineering Tolerance,Stable,-0.27%
Finding Aids,Stable,-8.51%
Templating,Lagging,-7.14%
Decorative Molding,Lagging,-2.75%
Social Media Engagement,Lagging,3.06%
Diction,Lagging,0.80%
Eight Disciplines Problem Solving (8D),Growing,7.87%
Structural Modeling,Growing,-0.57%
Microsoft Family Safety,Rapidly Growing,0.00%
Environmental Degradation,Growing,15.00%
Dredging,Lagging,-2.72%
Konkani Language,Lagging,-100.00%
Corrective Action Training,Lagging,-15.38%
Information Integration,Growing,-19.64%
Meningitis,Growing,7.02%
Lymphedema Management,Stable,-4.94%
Translational Medicine,Lagging,-3.65%
Structural Detailing,Growing,-3.55%
Clinical Evaluation,Lagging,2.85%
Hyperlipidemia,Lagging,-7.35%
Salesforce SteelBrick,Rapidly Growing,-11.77%
Acute Rehabilitation,Growing,1.72%
Patient Onboarding,Rapidly Growing,7.23%
Kerberos (Protocol),Lagging,-2.53%
Identity Documents,Rapidly Growing,60.00%
Nunit,Lagging,-7.89%
Visual Field Tests,Growing,4.06%
Energy Efficiency Analysis,Stable,-18.75%
File Organization,Lagging,1.14%
Ecological Restoration,Lagging,-1.14%
Compression Therapy,Growing,-2.94%
Theatre Production,Lagging,-23.08%
Hydropower,Growing,6.36%
Community Health Nursing,Lagging,-1.58%
Touch Typing,Lagging,-1.82%
Tigrinya Language,Growing,-5.56%
Gatling (Software),Growing,-8.97%
Conversational AI,Lagging,-6.01%
Vancomycin-Resistant Enterococci (Pathogen),Rapidly Growing,33.33%
Environmental Data Analysis,Rapidly Growing,9.43%
Concept Arts,Lagging,3.30%
Leaflet (Software),Stable,1.75%
Power Management,Stable,3.89%
Profiling (Computer Programming),Growing,-10.42%
Rabies,Stable,2.56%
Structural Work,Growing,4.27%
Material-UI,Stable,2.92%
Vicarious Liability,Lagging,-2.21%
Softphone,Growing,0.00%
Whatsapp,Growing,-1.37%
3GPP (Telecommunication),Rapidly Growing,6.54%
Internal Combustion Engines,Lagging,-7.08%
Demographic Transition,Growing,4.61%
Identity Management Systems,Lagging,-2.22%
Microsoft Windows CE,Growing,0.00%
Forest Conservation,Lagging,0.00%
Weather Reports,Lagging,-6.25%
Network Attached Storage (Server Appliance),Lagging,-14.66%
IBM Rational Clearquest,Stable,-3.47%
Memory Systems,Rapidly Growing,3.70%
Fatigue (Material),Lagging,1.14%
Organic Farming,Stable,5.36%
Hormone Therapy,Rapidly Growing,9.52%
Remote Recording,Rapidly Growing,0.00%
Training Package,Growing,0.00%
Ansible Tower,Lagging,-2.99%
Swahili Language,Stable,-10.53%
Backup Replication,Growing,9.09%
Cardiac Rhythm Interpretation,Lagging,0.44%
Capital Gains Tax,Rapidly Growing,0.00%
Constitutions,Growing,-5.00%
OpenGL,,
Route Settlement,Lagging,-1.19%
Accounting Analysis,Growing,2.94%
MARSEC (Maritime Security),Rapidly Growing,11.11%
Network Video Recorder,Growing,-3.26%
Labor Relations Consulting,Growing,0.00%
Lead Workflow,Growing,0.00%
Folk Dance,Rapidly Growing,0.00%
Warehouse Automation,Stable,5.84%
Weather Modeling,Rapidly Growing,16.00%
Screw Conveyors,Rapidly Growing,3.30%
Air Hammers,Lagging,-8.64%
Toyota Production System,Lagging,-3.57%
Dynamic Object-Oriented Requirements System (DOORS),Growing,-16.67%
Garment Construction,Growing,-8.33%
Diverter Valves,Rapidly Growing,0.00%
Tricentis Tosca,Growing,-3.75%
Point Clouds,Stable,-4.30%
Cross-Platform Applications,Growing,-8.82%
Allscripts EHR,Growing,-5.00%
Boost (C++ Libraries),Growing,-66.10%
Soaps,Stable,-0.55%
Markets In Financial Instruments Directive,Stable,-8.16%
Supportive Psychotherapy,Lagging,-0.95%
AuthorIT (Software),Rapidly Growing,-100.00%
Technical Illustration,Lagging,-4.88%
Audience Management,Stable,-9.20%
Stochastic Process,Stable,-5.26%
Semiconductor Fabrication Plant,Stable,-0.54%
Musician and Artist Management,Growing,8.26%
Communication Arts,Growing,9.20%
Openlab,Growing,-3.57%
Consolidated Procurement,Lagging,-18.75%
Bottleneck Analysis,Growing,7.14%
Venue Management,Lagging,-3.84%
Pharmacoepidemiology,Growing,1.11%
Diagnostic Audiology,Stable,0.00%
Mitochondria,Rapidly Growing,0.00%
Orton Gillingham Approach,Lagging,-14.06%
Retrovirus,Stable,-8.16%
Sociotherapy,Growing,7.14%
BBEdit,Lagging,-40.00%
Concrete Placement,Lagging,-5.67%
XAUI Standard,Lagging,-10.00%
Cabinet Painting,Growing,-25.84%
Pulmonary Nursing,Growing,-2.22%
Musicology,Rapidly Growing,11.77%
File Importing,Rapidly Growing,-21.67%
Agency Law,Rapidly Growing,-4.54%
Report Designer,Growing,5.26%
Da Vinci Surgical Systems,Lagging,-11.04%
Renewable Natural Gas,Lagging,-10.99%
Immune Disorder,Growing,-28.57%
Furniture Design,Growing,-2.06%
LED Lamps,Growing,3.52%
Close Work Orders,Growing,3.19%
Headsets,Lagging,-1.44%
MSBuild,Stable,-8.33%
Hearing Aid,Rapidly Growing,-6.25%
Seismographs,Lagging,2.50%
Ge Centricity,Lagging,-4.88%
Sikuli Script,Lagging,-12.50%
Hybridoma Technology,Growing,-4.35%
Reporter Gene,Rapidly Growing,0.00%
SPServices,Rapidly Growing,0.00%
Optical Lens Design,Growing,0.00%
Public Health Interventions,Rapidly Growing,-2.00%
Consecutive Interpretation,Lagging,-23.73%
Fortify Static Code Analysis (SCA),Rapidly Growing,-20.00%
Hibernate Query Language,Lagging,-12.37%
Password Cracking,Growing,-22.73%
Refrigeration Compressors,Growing,-2.94%
Message Passing Interface,Growing,2.55%
Securities Fraud,Rapidly Growing,12.50%
NICE (WFM Software),Lagging,-3.39%
Crankshaft,Growing,1.05%
Jury Selection,Growing,-2.86%
SSL Acceleration,Rapidly Growing,-100.00%
Data Conditioning,Growing,-12.50%
Field Recording,Lagging,-4.54%
Head Start Policy,Stable,-3.19%
IBM Workload Manager For Z/OS (WLM/SRM),Rapidly Growing,11.77%
Turret Punch,Lagging,-5.00%
General-Purpose Computing On Graphics Processing Units,Growing,-4.88%
Quicken (Accounting Software),Growing,-10.71%
Machine Press,Stable,4.67%
Dublin Core,Rapidly Growing,33.33%
Modern Literature,Lagging,-25.00%
Judicial Opinion,Growing,8.04%
Kismet (Software),Growing,-14.29%
Table Etiquette,Lagging,-12.90%
Net Revenue,Growing,0.00%
Gastrointestinal Stromal Tumor,,
AWS Cost Management,Rapidly Growing,10.00%
Cryostat,Stable,-5.46%
MathType,Rapidly Growing,100.00%
Tandem Mass Spectrometry,Growing,0.00%
Macintosh Software,Lagging,-15.00%
Water Law,Growing,1.82%
Amblyopia,Rapidly Growing,11.11%
XFOIL,Rapidly Growing,-100.00%
Choice Modeling,Rapidly Growing,5.56%
Typesetting,Lagging,-12.87%
Hallucinations,Growing,3.33%
Non-Profit Marketing,Rapidly Growing,-21.05%
SunOS,Growing,-28.57%
Sympy,Rapidly Growing,-100.00%
Non-Vessel Operating Common Carrier (NVOCC),Rapidly Growing,-10.00%
Ubi Language,Rapidly Growing,10.00%
Oracle Responsys (Marketing Software),Lagging,0.00%
Structural Drawing,Lagging,-13.16%
Coagulation,Growing,2.94%
Automated Logic WebCTRL,Rapidly Growing,5.88%
Mobile Application Testing,Stable,-11.32%
Undergraduate Research,Rapidly Growing,8.22%
Pharmaceutical Sales,Stable,-2.09%
AI/ML Inference,Lagging,1.80%
Machine Code,Rapidly Growing,1.67%
Personnel Procedures,Stable,-7.90%
Health Research,Stable,4.85%
Spinal Cord Injuries,Stable,-8.96%
Patch Panels,Rapidly Growing,-7.03%
Fashion Retail,Lagging,-12.43%
Terminal Access Controller Access-Control System (TACACS),Stable,4.35%
Graphite (Software),Stable,-3.30%
World History,Lagging,-30.22%
Community Emergency Response Teams (CERT),Stable,-6.67%
Subsurface Utility Engineering,Growing,-11.54%
Tape Recorders,Lagging,-2.17%
Excel Solver,Stable,1.52%
Vacuum Pumps,Growing,-2.05%
Job Architecture,Stable,3.65%
Ahrefs Site Explorer,Growing,1.84%
Parallel Computing,Growing,-2.50%
Seizure Disorders,Growing,7.23%
Freight Brokerage,Stable,-29.72%
VMware Aria Operations,Growing,8.14%
SMT Placement Equipment,Lagging,-9.09%
Function Model,Lagging,-40.91%
Jet Engine,Growing,-20.00%
Technology Life Cycle,Lagging,0.00%
Packaged Terminal Air Conditioner,Growing,-1.32%
Multihoming,Growing,-12.50%
Environmental Reporting,Growing,11.43%
Vasectomy,Stable,0.86%
Laser Tracker,Stable,-6.00%
Mastopexy,Lagging,0.00%
Tuition Payments,Lagging,-6.85%
Blood Typing,Growing,2.70%
Cognitive-Behavioral Interventions,Stable,-4.35%
Multi-Office Execution,Rapidly Growing,28.57%
API Throttling,Growing,0.00%
Orthogonal Frequency-Division Multiplexing,Growing,2.08%
Danish Language,Lagging,-10.00%
CALPUFF,Rapidly Growing,-14.29%
Vegetation Surveys,Stable,-25.00%
Cross-Site Scripting,Lagging,-1.92%
MyEclipse,Lagging,-60.00%
Rail Transport,Growing,-10.53%
Permanent Resident Cards,Growing,9.39%
Jewelry Making,Rapidly Growing,-2.38%
Trademark Prosecution,,
MicroRNA,Stable,-3.70%
Shortest Path Problem,Growing,0.00%
Service Access Point,Lagging,-4.23%
Gantry Crane,Growing,-10.00%
Continuous Auditing,Lagging,-8.66%
Environmental Economics,Growing,-6.10%
Security Log,Growing,3.08%
Gastrointestinal Bleeding,Growing,1.52%
Property Testing,Growing,15.15%
Sample Size Determination,Rapidly Growing,25.00%
Pharyngitis,Stable,4.88%
Bambara Language,Growing,-40.00%
Thoracic Aneurysm,Stable,0.00%
Authoring Software,Rapidly Growing,-10.16%
Boundary Element Method,Lagging,-20.00%
Home Energy Assessment,Growing,13.16%
Stormwater Collection Systems,Growing,12.77%
Human-In-The-Loop,Rapidly Growing,-7.69%
Data Reference Model,Growing,6.06%
Cell-Based Bioassays,Growing,13.79%
Burr (Cutter),Growing,-21.88%
Controlling Interest,Lagging,-25.00%
Human Ecology,Lagging,0.00%
Truss,Rapidly Growing,-14.29%
Mass Torts,Growing,-25.32%
Naturalistic Observation,Rapidly Growing,0.00%
SIPOC Process,Stable,-24.62%
Spark Core,Growing,-9.09%
Helicopter Underwater Escape Training,Lagging,-17.39%
Mapping Software,Growing,-2.81%
IEEE-488,Growing,8.33%
Windows Forms,Growing,-9.74%
Embedded Operating Systems,Rapidly Growing,-5.91%
Plant Breeding,Growing,4.76%
Apache Druid,Growing,-9.38%
Long Short-Term Memory (LSTM),Growing,-10.64%
Conceptual Model,Rapidly Growing,-10.53%
Plastic Pipework,Growing,3.08%
Fiction Writing,Growing,-20.00%
Beneficial Ownership,Growing,0.00%
Cell Abnormalities,Rapidly Growing,29.63%
Gyroscope,Growing,-16.00%
Python Tools For Visual Studio (Python Package),Rapidly Growing,15.38%
Gallium Nitride,Rapidly Growing,0.00%
Repository Design,Growing,0.00%
X86 Virtualization,Lagging,0.00%
Generic Buffer Management,Lagging,-14.29%
Ethical AI,,
Zooming,Growing,-2.50%
Surface Runoff,Growing,0.00%
Kardin,Lagging,-10.42%
WxWidgets,Rapidly Growing,0.00%
Audio Mastering,Rapidly Growing,-50.00%
Cloud-Native Computing Foundation (CNCF) Standards,Rapidly Growing,18.75%
Aquatic Science,Growing,-3.77%
WebMethods Integration Server,Lagging,-36.36%
Training Programs Management,,
Virtual Hosting,,
Carcinogen,Growing,-27.59%
Drake (Tax Software),Rapidly Growing,-2.78%
Artificial Heart,Lagging,-6.25%
Rigid Bodies,Lagging,-66.67%
Herbalism,Growing,-2.86%
TR-069,,
Laser Marksmanship Training Systems,Rapidly Growing,15.79%
Proguard,Growing,-23.53%
Small Office/Home Office Network,Rapidly Growing,-25.00%
Patent Foramen Ovale,Rapidly Growing,0.00%
Laser Capture Microdissection,Growing,-5.88%
Graphics Library,Growing,0.00%
Gonorrhea,Stable,0.00%
Rapid Control Prototyping,Rapidly Growing,75.00%
Solar Energy,Rapidly Growing,-5.46%
Spacecraft Design,Rapidly Growing,-10.23%
Tattoo Removal,Growing,5.56%
Web Deployment,Rapidly Growing,-75.00%
Off-Pump Coronary Artery Bypass,Lagging,-5.88%
Windows Deployment Services,Stable,0.00%
Faith Community Nursing,Lagging,-8.33%
Aggression Replacement Training,Lagging,-16.67%
MockK,Rapidly Growing,0.00%
TippingPoint,Growing,-50.00%
Java Profiler,Rapidly Growing,-27.27%
Periodontal Surgery,Growing,2.94%
Paper Mill,Growing,-11.11%
Migration Testing,Growing,10.00%
Clinical Data Interchange Standards Consortium,Rapidly Growing,21.05%
Oil Refining,Growing,-25.53%
SmartSketch,Growing,-8.33%
Bradycardia,Lagging,-2.56%
Cisco Packet Tracer,Lagging,-40.00%
Environmental Pollutants,Stable,-12.50%
Technical Control Facility,Lagging,-17.39%
WPAN,Rapidly Growing,0.00%
Truffle (Software),Growing,-42.86%
Apache Openjpa,Lagging,-20.00%
Vertebral Fixation,Lagging,-75.00%
Independent Films,Stable,-8.33%
Differential Signaling,Rapidly Growing,20.00%
Sencha Touch,Rapidly Growing,-50.00%
Business Rule Management Systems,Rapidly Growing,27.27%
Reverse Takeover,Growing,-33.33%
Quest KACE,Growing,10.71%
Dialectology,Rapidly Growing,-50.00%
Flaring Tools,Lagging,-11.11%
Selenide,Lagging,-5.26%
Managed Code,Growing,-12.50%
Cpu Cycles,Growing,-11.11%
Germanium,Rapidly Growing,12.50%
Frame Straightening,Rapidly Growing,-1.82%
Military Deception,Growing,-25.00%
Product Monetization,Rapidly Growing,-5.26%
Accessibility of Services,Rapidly Growing,-13.04%
Wildlife Damage Management,Lagging,0.00%
Microsoft Power BI Embedded,Rapidly Growing,-5.56%
Electrically Erasable Programmable Read-Only Memory (EEPROM),Lagging,-5.13%
Microvascular Surgery,Rapidly Growing,-7.69%
TAFIM,Rapidly Growing,-100.00%
Visual Odometry,Rapidly Growing,9.09%
Modern Methods Of Construction (MMC),Lagging,-50.00%
File Hosting Service,Rapidly Growing,-16.67%
Supply Chain Risk Assessment,Lagging,-6.90%
FogBugz,Rapidly Growing,9.09%
Equine Science,Growing,6.25%
Irrigation Technology,Lagging,-37.93%
Integrated Test Facility,Rapidly Growing,-50.00%
Peoplesoft Payables,,
Position Sensor,Rapidly Growing,-50.00%
Aquatic Botany,Stable,-7.14%
IxChariot (Traffic Generator),Lagging,-13.64%
Pharmacognosy,Lagging,-40.00%
Diesel Particulate Filter,Rapidly Growing,0.00%
Convex Optimization,Lagging,-5.88%
Dynamic Ip,Lagging,-66.67%
Adobe Digital Editions,Rapidly Growing,-10.00%
Trade Allocations,Rapidly Growing,-4.54%
Advance Fire Fighting,Rapidly Growing,0.00%
Amazon MQ,Rapidly Growing,-9.09%
Channel Bank,Rapidly Growing,0.00%
X-Ray Absorption Near Edge Structure (XANES),Lagging,-100.00%
Solaris Containers,Growing,0.00%
NuoDB,Lagging,-66.67%
Config Files,Rapidly Growing,-25.00%
Bing Search,Rapidly Growing,0.00%
Pattern Lab (Software),Rapidly Growing,-11.11%
Ventriculostomy,Growing,-1.92%
AVG (Software),Lagging,-100.00%
Trusted Internet Connections,Rapidly Growing,-20.00%
Watson Conversation,,
Unisys DMSII,Lagging,-42.86%
Life 70 (Software),Rapidly Growing,-100.00%
Audio Frequencies,Growing,-16.67%
Mobile App Test Automation,Lagging,-14.29%
Supplementary Service Codes,Lagging,-16.67%
Automatic Storage Management,Lagging,-20.00%
Synchronous Digital Networking,,
Create React App,Rapidly Growing,25.00%
Debt Service Ratios,Lagging,-50.00%
Tonsillectomy,Growing,-5.88%
Apache Traffic Server,Rapidly Growing,-50.00%
Hybrid Automatic Repeat Request,Rapidly Growing,-100.00%
Highmaps,,
Information Quality Act,Lagging,-33.33%
Intrathecal Chemotherapy,Stable,-6.25%
Apiary,Rapidly Growing,-20.00%
LotusScript,,
Internal Family Systems Models,Lagging,-31.25%
Chart Patterns,Lagging,-25.00%
Child Psychopathology,Stable,0.00%
Fluentvalidation,,
Map Algebra,Lagging,-60.00%
Medical Jurisprudence,Growing,-20.00%
Agilent ChemStation,Lagging,-25.00%
Cadence SKILL,Growing,-5.88%
Antitoxins,Lagging,-50.00%
Credit Institution,Rapidly Growing,20.00%
Satellite Assembly,Rapidly Growing,-12.50%
Tropical Basic Offshore Safety Induction And Emergency Training,,
Automated Truck Loading Systems,Growing,-25.00%
Accounts Receivable/Billing Fundamentals,,
Web Ontology Language,Rapidly Growing,-33.33%
IBM Director,Lagging,-100.00%
IBM System/3,Lagging,-50.00%
Navicat,Rapidly Growing,-25.00%
Fused Quartz,Lagging,-100.00%
Tausug Language,Lagging,-100.00%
IBM POWER9 Microprocessors,Rapidly Growing,0.00%
Open Source Security Testing Methodology,Lagging,-16.67%
Custom Backend,Rapidly Growing,-16.67%
Xml Dtd,Rapidly Growing,-100.00%
Ovirt,Rapidly Growing,-5.56%
amCharts,Rapidly Growing,-100.00%
Molar Pregnancy,Lagging,0.00%
TCP Wrapper,,
Instinet,,
Netflix Eureka,Lagging,-100.00%
Stockpile (Software),Growing,0.00%
Rocky Mountain BASIC,Lagging,-100.00%
Pulse Generator,Rapidly Growing,22.22%
Environmental Stewardship,,
XML-Based Programming Languages,Lagging,-100.00%
Stochastic Volatility,Lagging,0.00%
Cellular Automata,Lagging,-100.00%
JAR (Java ARchive),Lagging,-100.00%
Box Modeling,Lagging,0.00%
Window Managers,,
Oxygen Sensor,Rapidly Growing,-50.00%
Message Driven Beans,Rapidly Growing,-100.00%
Terracotta (Software),Lagging,-100.00%
Hydroelectricity,Growing,-10.00%
Gross Sales,Lagging,-20.00%
Genetic Biology,Lagging,-33.33%
Java Keywords,Rapidly Growing,-33.33%
Stress Relaxation,,
File Virtualization,,
Discount Stores,Lagging,-100.00%
Flexible Type,Rapidly Growing,0.00%
Signaling Protocol,Rapidly Growing,-100.00%
Claritas PRIZM,,
Percona Xtrabackup (Software),Lagging,-33.33%
CLR Profiler,,
Chromosome Structures,,
Spindle Drill Presses,Growing,-40.00%
Filehandle,Lagging,-100.00%
Embedded Media,Rapidly Growing,100.00%
Key Person Insurance,Lagging,-100.00%
Laser Power Scaling,Lagging,0.00%
Emissions Trading,Rapidly Growing,0.00%
Compact Framework,,
Maggot Therapy,Lagging,-100.00%
Optimized Potentials For Liquid Simulations (OPLS),,
Flip Video,,
TIBCO Administration,Rapidly Growing,0.00%
Robust Statistics,Lagging,-33.33%
Inflection,Rapidly Growing,-44.44%
Wcf 4,,
Character Encoding,Lagging,0.00%
Steinberg Cubase,,
Dispersion (Optics),Lagging,-37.50%
Common Alerting Protocol,,
Flash File Systems,Rapidly Growing,-50.00%
Material Exchange Format,Rapidly Growing,0.00%
Repository Pattern,Growing,18.18%
AWS CloudHSM,Rapidly Growing,33.33%
Agricultural Biotechnology,Rapidly Growing,-75.00%
Source Depot,Lagging,-100.00%
Genome Annotation,Lagging,-9.09%
Disk Subsystems,Rapidly Growing,-41.67%
